epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_acc1,val_rc,spike_rate,best_val_ce_so_far,global_step
1,4.917133182287216,0.9087074920535088,0.01638454879866913,4.928577184677124,0.03640350908972323,0.908902108669281,0.03862847202253761,4.928577184677124,16
2,4.175111770629883,0.9286187253892422,0.0004340277846495155,4.1915231347084045,0.053399124182760715,0.9285935908555984,0.0006510416860692203,4.1915231347084045,32
3,3.691374957561493,0.9445689469575882,0.04128689272329211,3.694860875606537,0.07500000204890966,0.9448607042431831,0.14995659701526165,3.694860875606537,48
4,3.462951138615608,0.9572795778512955,0.0,3.5139252841472626,0.09002192970365286,0.9575332775712013,0.0,3.5139252841472626,64
5,3.3728833347558975,0.9675473086535931,0.0,3.4178839325904846,0.09002192970365286,0.9675595834851265,0.0,3.4178839325904846,80
6,3.3061503171920776,0.9752219542860985,0.00010850694525288418,3.320455700159073,0.19254386611282825,0.9752722904086113,0.00010850694525288418,3.320455700159073,96
7,3.238714948296547,0.9808514676988125,0.0,3.2861801087856293,0.19254386611282825,0.9806574657559395,0.00010850694525288418,3.2861801087856293,112
8,3.235568091273308,0.9842709898948669,0.0024414062827418093,3.2557264268398285,0.19254386611282825,0.9842897355556488,0.009765625130967237,3.2557264268398285,128
9,3.200129196047783,0.9843988865613937,0.16471354197710752,3.2547269463539124,0.19254386611282825,0.9842936843633652,0.030598958488553762,3.2547269463539124,144
10,3.162158325314522,0.9843782261013985,0.19395616557449102,3.210601031780243,0.19254386611282825,0.9841910898685455,0.19466145895421505,3.210601031780243,160
11,3.1438297778367996,0.9850203208625317,0.32134331949055195,3.1919292509555817,0.19254386611282825,0.984849825501442,0.3226996548473835,3.1919292509555817,176
12,3.1336577385663986,0.9828394465148449,0.3271484412252903,3.154568672180176,0.19254386611282825,0.9827070236206055,0.3241102434694767,3.154568672180176,192
13,3.039914071559906,0.9837845042347908,0.8653971366584301,3.1157213747501373,0.19254386611282825,0.9835637733340263,0.6664496660232544,3.1157213747501373,208
14,3.0550550669431686,0.9815685898065567,0.6164822094142437,3.1008946001529694,0.19254386611282825,0.9815399348735809,0.6009114682674408,3.1008946001529694,224
15,3.1153741478919983,0.9805047810077667,0.0,3.163341522216797,0.19254386611282825,0.9802385494112968,0.0,3.1008946001529694,240
16,3.078221008181572,0.9807277582585812,0.12521701492369175,3.1190159022808075,0.19254386611282825,0.9805318042635918,0.06553819542750716,3.1008946001529694,256
17,3.0210048258304596,0.9814305119216442,0.7554796077311039,3.047239273786545,0.1944078989326954,0.9814057648181915,0.7580295205116272,3.047239273786545,272
18,3.0665847659111023,0.9816662259399891,0.15901693049818277,3.119191199541092,0.18486842513084412,0.9813555926084518,0.1727430559694767,3.047239273786545,288
19,3.1559143364429474,0.9798897169530392,0.05984158022329211,3.165690243244171,0.19046053104102612,0.9799053370952606,0.06477864552289248,3.047239273786545,304
20,2.993045538663864,0.9793479517102242,0.8374565988779068,3.0251199901103973,0.17938596569001675,0.9790711104869843,0.8168402835726738,3.0251199901103973,320
21,2.985272452235222,0.9778969623148441,0.5734049491584301,3.0205360651016235,0.18355263769626617,0.9776015728712082,0.4814453087747097,3.0205360651016235,336
22,3.00351046025753,0.9802511557936668,0.7394748330116272,3.021049737930298,0.1799342166632414,0.9802108705043793,0.7439236268401146,3.0205360651016235,352
23,2.964503586292267,0.979312788695097,0.2720269113779068,3.0042694807052612,0.18804825097322464,0.9790345504879951,0.281141497194767,3.0042694807052612,368
24,2.9486441016197205,0.9796140752732754,0.40690104477107525,2.992636561393738,0.19287281297147274,0.9792371466755867,0.4096137210726738,2.992636561393738,384
25,2.9514951407909393,0.9805597253143787,0.5109049528837204,2.991276204586029,0.1894736886024475,0.9802181050181389,0.5197482779622078,2.991276204586029,400
26,2.946481704711914,0.9805533699691296,0.24576823133975267,2.9896720349788666,0.20438596792519093,0.9801303818821907,0.2450086809694767,2.9896720349788666,416
27,2.9942300617694855,0.9796978756785393,0.4381510466337204,3.037629723548889,0.19243421405553818,0.9794254302978516,0.4392361082136631,2.9896720349788666,432
28,2.9582881331443787,0.979847576469183,0.5847981907427311,2.9770472645759583,0.19912281073629856,0.9796084612607956,0.5873480960726738,2.9770472645759583,448
29,2.935696601867676,0.9789701662957668,0.2379014790058136,2.9890525937080383,0.20888158306479454,0.9782601296901703,0.2395833320915699,2.9770472645759583,464
30,2.910412907600403,0.9799134097993374,0.38102213852107525,2.9693178832530975,0.20942982658743858,0.979181557893753,0.3927951417863369,2.9693178832530975,480
