epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_acc1,val_rc,spike_rate,best_val_ce_so_far,global_step
1,4.0936296582221985,0.7366796483596165,0.4527181126177311,4.21327600479126,0.05741469822824002,0.7371565937995911,0.21575521379709245,4.21327600479126,24
2,3.525785634915034,0.8265204851826031,0.0797254800175627,3.6196938276290895,0.06076115444302559,0.8263482570648194,0.041471355408430104,3.6196938276290895,48
3,3.2545284529527025,0.8781408270200093,0.08908420366545518,3.2955029487609866,0.18897637575864792,0.8775115489959717,0.06582031510770321,3.2955029487609866,72
4,3.1751323839028673,0.8961324791113535,0.034125435166060925,3.206844449043274,0.18871391117572786,0.8954843282699585,0.05169271007180214,3.206844449043274,96
5,3.1279994944731393,0.9088401819268862,0.0992024764418602,3.1702970504760746,0.1950131207704544,0.9080498158931732,0.09576823189854622,3.1702970504760746,120
6,3.0974618792533875,0.9245112637678782,0.1997884151836236,3.1411486864089966,0.1942257210612297,0.9239884495735169,0.16269531697034836,3.1411486864089966,144
7,3.048144906759262,0.9363597085078557,0.21495226336022216,3.0914123296737674,0.2046587944030762,0.9353971064090729,0.2171875059604645,3.0914123296737674,168
8,3.0299745102723437,0.9406248554587364,0.282389335334301,3.065409564971924,0.20767716467380526,0.9399934470653535,0.2863281339406967,3.065409564971924,192
9,3.0372270842393236,0.9420530647039413,0.2450900686283906,3.0708181619644166,0.20045931786298754,0.9408770799636841,0.25143229812383655,3.065409564971924,216
10,3.020545095205307,0.9434121698141098,0.231092669069767,3.0636971950531007,0.2032152205705643,0.9420666396617889,0.23984375596046448,3.0636971950531007,240
11,3.069283713897069,0.9381489654382069,0.4028862963120142,3.140491390228272,0.1943569540977478,0.9370456278324127,0.21523437947034837,3.0636971950531007,264
12,2.9576752881209054,0.9355973700682322,0.3106825165450573,3.0016483545303347,0.20524934232234956,0.9339116096496582,0.36080729961395264,3.0016483545303347,288
13,2.979024112224579,0.9350117072463036,0.3797471908231576,3.029281067848206,0.21023621857166291,0.9345501005649567,0.3327474027872086,3.0016483545303347,312
14,2.9194362262884774,0.9350212713082631,0.4869791815678278,2.993413805961609,0.20354330688714983,0.933503007888794,0.4169270902872086,2.993413805961609,336
15,3.003820290168126,0.9353631312648455,0.4744466282427311,3.038993048667908,0.2053805783390999,0.9343991160392762,0.42239584624767307,2.993413805961609,360
16,2.978485733270645,0.9364614735047022,0.3506673301259676,3.037206530570984,0.18589238673448563,0.9356874644756318,0.4294270902872086,2.993413805961609,384
17,2.950085014104843,0.9353093306223551,0.2696397664646307,2.996331024169922,0.2039370059967041,0.934797501564026,0.2559895902872086,2.993413805961609,408
18,2.9291632771492004,0.9382989009221394,0.4596082990368207,2.9592511653900146,0.19429133832454681,0.9376453638076783,0.40410157144069675,2.9592511653900146,432
19,2.9212429920832315,0.941034197807312,0.4479980568091074,2.9616300106048588,0.2118110254406929,0.9404326498508454,0.4350260525941849,2.9592511653900146,456
20,2.9226203461488085,0.9434885929028193,0.4061686297257741,2.954812479019165,0.2091863512992859,0.9427840352058411,0.3323567807674408,2.954812479019165,480
21,2.9092923899491625,0.9451164032022158,0.3101942390203476,2.9585164546966554,0.20203411877155306,0.9435782790184022,0.30195313692092896,2.954812479019165,504
22,2.90701354543368,0.9466281036535898,0.2584906791647275,2.959680986404419,0.20446194261312486,0.9456796109676362,0.25592448413372043,2.954812479019165,528
23,2.945780982573827,0.9462878430883089,0.3608127286036809,2.9887478351593018,0.20341207534074784,0.9457528591156006,0.3214192807674408,2.954812479019165,552
24,2.901546835899353,0.946697841087977,0.284912118067344,2.956164002418518,0.21102362275123598,0.9454376578330994,0.28886719346046447,2.954812479019165,576
