epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_acc1,val_rc,spike_rate,best_val_ce_so_far,global_step
1,5.324100375175476,0.9988026022911072,0.0,5.324229717254639,0.029255318455398083,0.9988026022911072,0.0,5.324229717254639,4
2,5.083427429199219,0.9987448453903198,0.0,5.0855841636657715,0.029255318455398083,0.9987448453903198,0.0,5.0855841636657715,8
3,4.876906514167786,0.9987183809280396,0.0,4.86150598526001,0.029255318455398083,0.9987183809280396,0.0,4.86150598526001,12
4,4.668535113334656,0.9987416863441467,0.0,4.653148412704468,0.029255318455398083,0.9987416863441467,0.0,4.653148412704468,16
5,4.444449424743652,0.998767614364624,0.0,4.4616663455963135,0.029255318455398083,0.998767614364624,0.0,4.4616663455963135,20
6,4.305093169212341,0.9987771511077881,0.0,4.288257122039795,0.029255318455398083,0.9987771511077881,0.02083333395421505,4.288257122039795,24
