epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_acc1,val_rc,spike_rate,best_val_ce_so_far,global_step
1,4.706709533929825,0.7068031243979931,0.1107313372194767,4.72125518321991,0.018859649309888482,0.7083709985017776,0.10850694496184587,4.72125518321991,16
2,3.8889007568359375,0.779844842851162,0.3393012210726738,3.905488967895508,0.06063596624881029,0.780597023665905,0.3487413190305233,3.905488967895508,32
3,3.431752160191536,0.8357260972261429,0.5123698003590107,3.4702582359313965,0.05899122869595885,0.8362153917551041,0.5407986156642437,3.4702582359313965,48
4,3.3270480185747147,0.8659641556441784,0.0885416679084301,3.4085232615470886,0.1743421107530594,0.8663552403450012,0.009331597262644209,3.4085232615470886,64
5,3.290154904127121,0.8892789110541344,0.002332899355678819,3.32537305355072,0.1915570218116045,0.8890410140156746,0.0023871528028394096,3.32537305355072,80
6,3.228675365447998,0.9070802889764309,0.0959743931889534,3.2577101290225983,0.19254386611282825,0.9064188748598099,0.09895833395421505,3.2577101290225983,96
7,3.1573602706193924,0.9125211723148823,0.19656033255159855,3.2033767104148865,0.1940789520740509,0.912228599190712,0.20084635727107525,3.2033767104148865,112
8,3.1426989138126373,0.9100104942917824,0.23242187686264515,3.1661952435970306,0.19506579264998436,0.9097752496600151,0.1842447929084301,3.1661952435970306,128
9,3.099332958459854,0.9091069586575031,0.2151692733168602,3.1411966383457184,0.19396930187940598,0.9081513434648514,0.24305555783212185,3.1411966383457184,144
10,3.0934318602085114,0.9141146130859852,0.2020941860973835,3.1357236802577972,0.19111842662096024,0.9131714478135109,0.2012803815305233,3.1357236802577972,160
11,3.0628453344106674,0.9192714244127274,0.29589843936264515,3.1093162894248962,0.19385965168476105,0.9185764342546463,0.2974175401031971,3.1093162894248962,176
12,3.0877655893564224,0.9234280213713646,0.2581380242481828,3.1164004802703857,0.19429824873805046,0.9236152842640877,0.2345920167863369,3.1093162894248962,192
13,3.04371677339077,0.9284050911664963,0.1151258684694767,3.086332082748413,0.21195175871253014,0.9277583360671997,0.12814670149236917,3.086332082748413,208
14,3.0080642253160477,0.9320211857557297,0.33143446408212185,3.0459427535533905,0.20877193473279476,0.9311171546578407,0.3364800401031971,3.0459427535533905,224
15,2.9649643898010254,0.9343208372592926,0.42843967489898205,3.020846873521805,0.2100877221673727,0.9328036233782768,0.4399956613779068,3.020846873521805,240
16,2.9613414108753204,0.9351525455713272,0.3725585974752903,3.0027175545692444,0.21348684653639793,0.934052012860775,0.3885633684694767,3.0027175545692444,256
17,3.0686798840761185,0.9362576119601727,0.14073350746184587,3.082671821117401,0.20942982845008373,0.9368419870734215,0.1392144113779068,3.0027175545692444,272
18,3.1200615614652634,0.9302973262965679,0.24598524440079927,3.182653933763504,0.17774123139679432,0.9299016818404198,0.24641927517950535,3.0027175545692444,288
19,3.0889640897512436,0.918815977871418,0.3221028670668602,3.10985866189003,0.19089912623167038,0.9185059294104576,0.3253038264811039,3.0027175545692444,304
20,3.0597796738147736,0.9179047681391239,0.278211809694767,3.097428470849991,0.19473684579133987,0.9173503145575523,0.2792968824505806,3.0027175545692444,320
21,3.0194873362779617,0.9167525619268417,0.3959418460726738,3.0537949204444885,0.20252193324267864,0.9168029353022575,0.3956163227558136,3.0027175545692444,336
22,3.023694559931755,0.9183124490082264,0.5059136375784874,3.040433943271637,0.2111842129379511,0.9189509525895119,0.5080295242369175,3.0027175545692444,352
23,2.986264690756798,0.9200244806706905,0.5119900163263083,3.0288903415203094,0.20690789818763733,0.920110359787941,0.5128038227558136,3.0027175545692444,368
24,2.978127211332321,0.922838419675827,0.5164930708706379,3.024176239967346,0.20438596792519093,0.9222322627902031,0.513346366584301,3.0027175545692444,384
25,2.987624019384384,0.9245027266442776,0.4757486991584301,3.0234342217445374,0.20712719857692719,0.9242342114448547,0.4778645895421505,3.0027175545692444,400
26,2.9902033507823944,0.9260501079261303,0.39192708767950535,3.033389449119568,0.21019737422466278,0.9255292788147926,0.3986545205116272,3.0027175545692444,416
27,2.990940123796463,0.9278296083211899,0.4612087719142437,3.0300547778606415,0.2104166727513075,0.9270491525530815,0.4625651091337204,3.0027175545692444,432
28,3.029279515147209,0.9281038120388985,0.47460938058793545,3.0315618813037872,0.2121710553765297,0.9287594184279442,0.4779730923473835,3.0027175545692444,448
29,2.9990448504686356,0.9287463165819645,0.46430121921002865,3.0550948083400726,0.2167763188481331,0.9281707853078842,0.4615885503590107,3.0027175545692444,464
30,2.956971198320389,0.9278541877865791,0.45388455130159855,3.0216313302516937,0.21853070706129074,0.9272499457001686,0.4069010429084301,3.0027175545692444,480
