epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_rc,spike_rate,best_val_ce_so_far,global_step
1,4.771139454841614,0.7027123272418976,0.017751736252103002,4.785414814949036,0.7036427035927773,0.020507812849245965,4.785414814949036,20
2,3.862271630764008,0.7732410043478013,0.16093750149011612,3.924083024263382,0.7749447673559189,0.07519531343132257,3.924083024263382,40
3,3.472539818286896,0.8199407786130906,0.09717882089316845,3.511114329099655,0.8208508789539337,0.09819878544658422,3.511114329099655,60
4,3.2814204812049867,0.8450801312923432,0.13012152910232544,3.317963719367981,0.8468540012836456,0.10970052238553762,3.317963719367981,80
5,3.1149663567543033,0.861302947998047,0.25924479179084303,3.208728462457657,0.8616816028952599,0.10785590391606092,3.208728462457657,100
6,3.0739989399909975,0.869931584596634,0.38164062798023224,3.0946965515613556,0.8708696141839027,0.3885633759200573,3.0946965515613556,120
7,3.0694122552871708,0.8783035010099411,0.1555555582046509,3.0991678535938263,0.8781852796673775,0.16113281436264515,3.0946965515613556,140
8,3.0535869836807255,0.8743217319250107,0.332899309694767,3.076665759086609,0.8756390735507011,0.3067491315305233,3.076665759086609,160
9,3.0410970211029054,0.879410982131958,0.0058159723150311045,3.097599446773529,0.8787729516625404,0.008463541773380712,3.076665759086609,180
10,3.066227698326111,0.8787583559751511,0.0,3.104426085948944,0.8783419653773308,0.0,3.076665759086609,200
11,3.0160720467567446,0.8827806293964386,0.009157986109494231,3.0434990227222443,0.8821745812892914,0.05718316067941487,3.0434990227222443,220
12,3.0097561836242677,0.8826918125152589,0.003993055623141117,3.0377025604248047,0.8825968727469444,0.004557291766104754,3.0377025604248047,240
13,3.018168091773987,0.8846893817186356,0.0,3.0463938117027283,0.8835588097572327,0.0,3.0377025604248047,260
14,2.995174634456635,0.8897567421197892,0.0,3.0262277722358704,0.8889903351664543,0.0,3.0262277722358704,280
15,2.9830992341041567,0.8936147630214691,0.002343750055297278,3.023007810115814,0.8931531310081482,0.004557291766104754,3.023007810115814,300
