epoch,train_ce_mean,train_rc_mean,train_energy_mean,val_ce,val_acc1,val_rc,spike_rate,best_val_ce_so_far,global_step
1,4.644028007984161,0.700592640787363,0.20350477658212185,4.669370174407959,0.029057018226012588,0.7021759375929832,0.1834852434694767,4.669370174407959,16
2,3.9184232652187347,0.7739191092550755,0.18060981202870607,3.932806670665741,0.06359649216756225,0.774671271443367,0.1822916679084301,3.932806670665741,32
3,3.4803651571273804,0.8307801522314548,0.14073350839316845,3.5008802711963654,0.06096491403877735,0.831377200782299,0.15505642630159855,3.5008802711963654,48
4,3.271483674645424,0.8606622144579887,0.1916775181889534,3.342248409986496,0.18464912474155426,0.8611379116773605,0.11773003544658422,3.342248409986496,64
5,3.322282522916794,0.8877108469605446,0.004720052133052377,3.3434105813503265,0.19254386611282825,0.8875673785805702,0.015516493003815413,3.342248409986496,80
6,3.2712842226028442,0.9071307629346848,0.006022135537932627,3.29338476061821,0.1915570218116045,0.9065482392907143,0.011067708546761423,3.29338476061821,96
7,3.155007630586624,0.9147924669086933,0.15983073133975267,3.2033503353595734,0.19166667200624943,0.914477251470089,0.1834852434694767,3.2033503353595734,112
8,3.168810322880745,0.922830305993557,0.11512586940079927,3.1953607201576233,0.19166667200624943,0.9220475628972054,0.1094835065305233,3.1953607201576233,128
9,3.138718828558922,0.9259279109537601,0.15082465345039964,3.184579849243164,0.19232456758618355,0.9245087429881096,0.1869574673473835,3.184579849243164,144
10,3.091563105583191,0.9264141991734505,0.19466145988553762,3.127448797225952,0.1946271974593401,0.9249607622623444,0.20800781436264515,3.127448797225952,160
11,3.0737391114234924,0.9275501593947411,0.2284071184694767,3.147791236639023,0.19254386611282825,0.9268088787794113,0.15245225839316845,3.127448797225952,176
12,3.1247099936008453,0.9277742654085159,0.17247178871184587,3.1383216381073,0.2037280760705471,0.9275529533624649,0.1597222238779068,3.127448797225952,192
13,3.1070243567228317,0.9323064424097538,0.0895182304084301,3.154388874769211,0.19342105463147163,0.9313754215836525,0.10948350839316845,3.127448797225952,208
14,3.0322549045085907,0.9326348081231117,0.2997504360973835,3.068225681781769,0.20833333767950535,0.9311417639255524,0.2927517369389534,3.068225681781769,224
15,3.0393917858600616,0.933428306132555,0.132703993935138,3.093528687953949,0.1903508808463812,0.9315256476402283,0.1381293423473835,3.068225681781769,240
16,3.0272838324308395,0.935910526663065,0.18820529663935304,3.0705136358737946,0.20723684504628181,0.9348361492156982,0.2100694477558136,3.068225681781769,256
17,3.0374879240989685,0.9347852729260921,0.27799479104578495,3.057085335254669,0.20504386350512505,0.9347421750426292,0.25585938058793545,3.057085335254669,272
18,3.010137766599655,0.937772274017334,0.17469618190079927,3.0545307099819183,0.20460526831448078,0.9361785799264908,0.18098958767950535,3.0545307099819183,288
19,3.0098416209220886,0.939998883754015,0.18050130363553762,3.0276984870433807,0.20734649524092674,0.9389627650380135,0.1853298619389534,3.0276984870433807,304
20,2.9848650246858597,0.9431924372911453,0.1481119804084301,3.0149000883102417,0.20811404287815094,0.9412001594901085,0.15483940951526165,3.0149000883102417,320
21,2.992916762828827,0.9441019557416439,0.18229166977107525,3.0248787701129913,0.2103070206940174,0.9428189322352409,0.22612847201526165,3.0149000883102417,336
22,2.9948850572109222,0.941811565309763,0.2619357667863369,3.0130708813667297,0.20888158306479454,0.9411115571856499,0.26388889364898205,3.0130708813667297,352
23,2.9668545722961426,0.9401566796004772,0.3189561665058136,3.021393299102783,0.21096491441130638,0.938457764685154,0.3445095494389534,3.0130708813667297,368
24,2.9297351092100143,0.9394526146352291,0.35926649533212185,2.9799869656562805,0.21721491776406765,0.9376209080219269,0.3605685792863369,2.9799869656562805,384
25,2.9322619587183,0.9398560523986816,0.33973524905741215,2.9753516614437103,0.21776316314935684,0.9382937252521515,0.3370225727558136,2.9753516614437103,400
26,2.9415237605571747,0.9427627176046371,0.3122287355363369,2.9971812665462494,0.2184210568666458,0.940688319504261,0.3131510466337204,2.9753516614437103,416
27,2.940562054514885,0.9422242157161236,0.43695746548473835,2.9886759221553802,0.21622807532548904,0.9403222501277924,0.4065755270421505,2.9753516614437103,432
28,2.95467646420002,0.9433771185576916,0.38134765811264515,2.9704827964305878,0.2192982528358698,0.9426829665899277,0.3499349020421505,2.9704827964305878,448
29,2.907353386282921,0.9472801610827446,0.37939453683793545,2.960151255130768,0.21271930076181889,0.944796584546566,0.3778211884200573,2.960151255130768,464
30,2.9032823741436005,0.9475735127925873,0.39154731296002865,2.96031790971756,0.2177631612867117,0.9445913434028625,0.3908420167863369,2.960151255130768,480
31,2.909757688641548,0.9473010003566742,0.3589409776031971,2.9768733978271484,0.2174342144280672,0.9444383010268211,0.3628472276031971,2.960151255130768,496
32,2.91897751390934,0.9474528282880783,0.31320529989898205,2.955802083015442,0.21578947827219963,0.9456411525607109,0.322265625,2.955802083015442,512
33,2.9232364296913147,0.9469433128833771,0.37364366464316845,2.9498215913772583,0.21567982621490955,0.9461083486676216,0.3667534776031971,2.9498215913772583,528
34,2.936523973941803,0.9479739516973495,0.40999349392950535,2.96418434381485,0.2154605332762003,0.9465099051594734,0.4089626744389534,2.9498215913772583,544
35,2.9201463013887405,0.945954006165266,0.3826497420668602,2.9394026696681976,0.21129386499524117,0.9454456865787506,0.3785807304084301,2.9394026696681976,560
36,2.928333416581154,0.9449951611459255,0.3349066898226738,2.967876583337784,0.20241228491067886,0.9437879472970963,0.3281250037252903,2.9394026696681976,576
